filename	mark	label	offset1	offset2	span	code
es-S1139-76322015000300009-1	T6	ENFERMEDAD	595	621	problema ossi en les nines	116310002
es-S1139-76322015000300009-1	T7	ENFERMEDAD	714	742	no té els ossos de les nines	91873009
es-S1139-76322015000300009-1	T8	ENFERMEDAD	902	916	mal neurològic	118940003
es-S1139-76322015000300009-1	T9	ENFERMEDAD	1111	1114	ACV	82797006
es-S1139-76322015000300009-1	T10	ENFERMEDAD	1071	1124	hemiplegia esquerra derivada de la seva ACV perinatal	278285008+371121002
es-S1139-76322015000300009-1	T11	ENFERMEDAD	1111	1124	ACV perinatal	371121002
es-S1139-76322015000300009-1	T12	ENFERMEDAD	1353	1370	trets dismórficos	248200007
es-S1139-76322015000300009-1	T13	ENFERMEDAD	1833	1860	absència bilateral del carp	91873009
es-S1139-76322015000300009-1	T14	ENFERMEDAD	1926	1945	osteólisis carpiana	203522001
es-S1139-76322015000300009-1	T15	ENFERMEDAD	1948	1978	lesions en l'escafoides tarsià	118932009
es-S1139-76322015000300009-1	T16	ENFERMEDAD	2080	2168	osteólisis multicèntrica carpotarsal de transmissió autosòmica dominant sense nefropatía	766992008
es-S1139-76322015000300009-1	T17	ENFERMEDAD	2080	2151	osteólisis multicèntrica carpotarsal de transmissió autosòmica dominant	766992008
es-S0211-69952013000700023-1	T1	ENFERMEDAD	208	228	hipertensió arterial	38341003
es-S0211-69952013000700023-1	T2	ENFERMEDAD	415	426	anemización	271737000
es-S0211-69952013000700023-1	T3	ENFERMEDAD	1125	1176	nefropatía per cilindres de cadenes lleugeres kappa	449408005
es-S0211-69952013000700023-1	T4	ENFERMEDAD	1187	1199	MM IgA-kappa	285420006
es-S0211-69952013000700023-1	T5	ENFERMEDAD	1735	1800	lesions tubulointersticiales cròniques d'intensitat lleu-moderada	60926001
es-S1137-66272008000300009-1	T1	ENFERMEDAD	34	61	goll difús normofuncionante	237494009
es-S1137-66272008000300009-1	T2	ENFERMEDAD	63	85	mioma uterí calcificat	95315005
es-S1137-66272008000300009-1	T3	ENFERMEDAD	1639	1653	úter miomatoso	95315005
es-S1137-66272008000300009-1	T4	ENFERMEDAD	1171	1215	calcificacions uterines suggestives de mioma	95315005+425556003
es-S1137-66272008000300009-1	T5	ENFERMEDAD	1639	1672	úter miomatoso amb calcificacions	95315005+425556003
es-S1137-66272008000300009-1	T6	ENFERMEDAD	739	754	visceromegalias	28543008
es-S1137-66272008000300009-1	T7	ENFERMEDAD	563	572	cicatrius	275322007
es-S1137-66272008000300009-1	T8	ENFERMEDAD	2203	2228	adenopaties mesentèriques	127144009
es-S1137-66272008000300009-1	T9	ENFERMEDAD	2263	2277	úter miomatoso	95315005
es-S1137-66272008000300009-1	T10	ENFERMEDAD	2901	2923	endometriosi ileocecal	8421002
es-S1137-66272008000300009-1	T11	ENFERMEDAD	2854	2859	lesió	417163006
es-S0210-48062009000300013-4	T1	ENFERMEDAD	48	57	Hepatitis	128241005
es-S0210-48062009000300013-4	T2	ENFERMEDAD	113	123	Cistinuria	85020001
es-S0210-48062009000300013-4	T3	ENFERMEDAD	239	242	HTA	38341003
es-S0210-48062009000300013-4	T4	ENFERMEDAD	443	463	hematoma subcapsular	35566002
es-S0210-48062009000300013-4	T5	ENFERMEDAD	443	451	hematoma	385494008
es-S0210-48062009000300013-4	T6	ENFERMEDAD	491	499	hematoma	385494008
es-S0210-48062009000300013-4	T7	ENFERMEDAD	253	294	litiasi d'1 cm en calze inferior de ronyó	236708007
es-S0210-48062009000300013-4	T8	ENFERMEDAD	604	612	hematoma	385494008
es-S1130-14732005000500006-1	T1	ENFERMEDAD	70	104	leucèmia linfoblástica aguda pre-B	277572006
es-S1130-14732005000500006-1	T2	ENFERMEDAD	1888	1935	hematoma ventral intradural extraparenquimatoso	428268007
es-S1130-14732005000500006-1	T3	ENFERMEDAD	2355	2384	coàgul sanguini subaracnoidal	21454007
es-S1130-14732005000500006-1	T4	ENFERMEDAD	1888	1896	hematoma	385494008
es-S1130-14732005000500006-1	T5	ENFERMEDAD	2495	2503	hematoma	385494008
es-S1130-14732005000500006-1	T6	ENFERMEDAD	2924	2932	hematoma	385494008
es-S1130-14732005000500006-1	T7	ENFERMEDAD	3547	3566	fracàs multiorgànic	57653000
es-S1130-14732005000500006-1	T8	ENFERMEDAD	2869	2876	lesions	157670007
es-S1130-14732005000500006-1	T9	ENFERMEDAD	2098	2103	lesió	417163006
es-S1130-14732005000500006-1	T10	ENFERMEDAD	1631	1652	paraparesia bilateral	1845001
es-S0210-56912006000300007-2	T1	ENFERMEDAD	185	223	aneurisma aòrtic abdominal infrarrenal	444569004
es-S0210-56912006000300007-2	T2	ENFERMEDAD	314	326	proctorragia	12063002
es-S0210-56912006000300007-2	T3	ENFERMEDAD	1082	1104	atur cardiorespiratori	410430005
es-S0210-56912006000300007-2	T4	ENFERMEDAD	697	700	FAE	59047005
es-S0210-56912006000300007-2	T5	ENFERMEDAD	1015	1018	FAE	59047005
es-S0210-56912006000300007-2	T6	ENFERMEDAD	1015	1027	FAE amb jejú	307403007
es-S0210-56912006000300007-2	T7	ENFERMEDAD	957	981	hematoma retroperitoneal	236002003
es-S0210-56912006000300007-2	T8	ENFERMEDAD	794	812	cicatriu umbilical	60155008
es-S0210-56912006000300007-2	T9	ENFERMEDAD	380	407	descompensació hemodinàmica	422773005
es-S0212-71992007001000007-1	T1	ENFERMEDAD	178	189	rectorragia	12063002
es-S0212-71992007001000007-1	T2	ENFERMEDAD	346	351	RS3PE	445345005
es-S0212-71992007001000007-1	T3	ENFERMEDAD	1805	1880	bufeta urinària amb engruiximent del sòl vesical, amb múltiples diverticles	197866008
es-S0212-71992007001000007-1	T4	ENFERMEDAD	1882	1904	hipertròfia prostàtica	266569009
es-S0212-71992007001000007-1	T5	ENFERMEDAD	2018	2075	diverticles i plaques antracosis en tot l'arbre bronquial	29422001
es-S0212-71992007001000007-1	T6	ENFERMEDAD	1701	1749	bronquièctasis cilíndriques de paret fina en LII	83457000
es-S0212-71992007001000007-1	T7	ENFERMEDAD	1365	1381	lesions erosives	15498001
es-S0212-71992007001000007-1	T8	ENFERMEDAD	2867	2885	malaltia de Poncet	63712002
es-S1135-76062010000200004-1	T1	ENFERMEDAD	35	42	síncope	29423006
es-S1135-76062010000200004-1	T2	ENFERMEDAD	745	816	trencament d'un aneurisma sacular de la porció terminal de l'arc aòrtic	23115009
es-S1135-76062010000200004-1	T3	ENFERMEDAD	761	770	aneurisma	432119003
es-S1135-76062010000200004-1	T4	ENFERMEDAD	889	898	aneurisma	432119003
es-S1135-76062010000200004-1	T5	ENFERMEDAD	695	704	hemotórax	31892009
es-S1135-76062010000200004-1	T6	ENFERMEDAD	1458	1467	aneurisma	432119003
es-S1135-76062010000200004-1	T7	ENFERMEDAD	1711	1732	colagenopatía atípica	81573002
es-S1135-76062010000200004-1	T8	ENFERMEDAD	1808	1826	Síndrome de Marfan	19346006
es-S1130-01082008000200009-1	T1	ENFERMEDAD	45	61	malaltia celíaca	396331005
es-S1130-01082008000200009-1	T2	ENFERMEDAD	151	194	enteropatía amb atròfia vellocitaria severa	75581001
es-S1130-01082008000200009-1	T3	ENFERMEDAD	374	384	mort fetal	84122000
es-S1130-01082008000200009-1	T4	ENFERMEDAD	606	632	alteracions protrombóticas	234467004
es-S0210-48062007001000016-1	T1	ENFERMEDAD	34	54	hipertensió arterial	38341003
es-S0210-48062007001000016-1	T2	ENFERMEDAD	56	75	hipercolesterolèmia	13644009
es-S0210-48062007001000016-1	T3	ENFERMEDAD	78	98	hipertrigliceridemia	302870006
es-S0210-48062007001000016-1	T4	ENFERMEDAD	123	159	tumor vesical infiltrante d'alt grau	399326009
es-S0210-48062007001000016-1	T5	ENFERMEDAD	161	197	Carcinoma de cèl·lules transicionals	27090000
es-S0210-48062007001000016-1	T6	ENFERMEDAD	210	227	Carcinoma in situ	68956006
es-S0210-48062007001000016-1	T7	ENFERMEDAD	348	367	Carcinoma urotelial	27090000
es-S0210-48062007001000016-1	T8	ENFERMEDAD	620	630	hipoacúsia	15188001
es-S0210-48062007001000016-1	T9	ENFERMEDAD	620	640	hipoacúsia bilateral	95820000
es-S0210-48062007001000016-1	T10	ENFERMEDAD	893	903	hipoacúsia	15188001
es-S0210-48062007001000016-1	T11	ENFERMEDAD	931	953	cofosi d'oïda esquerra	473422006
es-S0210-48062007001000016-1	T12	ENFERMEDAD	1009	1049	caràcter neurosensorial de la hipoacúsia	60700002
es-S0210-48062007001000016-1	T13	ENFERMEDAD	1039	1049	hipoacúsia	15188001
es-S0210-48062007001000016-1	T14	ENFERMEDAD	1279	1289	hipoacúsia	15188001
es-S0210-48062007001000016-1	T15	ENFERMEDAD	1220	1244	infeccions intracranials	363166002
es-S0210-48062007001000016-1	T16	ENFERMEDAD	1359	1369	xoc sèptic	76571007
es-S0210-48062007001000016-1	T17	ENFERMEDAD	1197	1218	malalties sistèmiques	264578000
es-S0210-48062007001000016-1	T18	ENFERMEDAD	1247	1259	traumatismes	417746004
es-S0210-48062007001000016-1	T19	ENFERMEDAD	1516	1526	hipoacúsia	15188001
S0004-06142007000300011-1	T1	ENFERMEDAD	495	539	arrítmia completa per fibril·lació auricular	49436004+698247007
S0004-06142007000300011-1	T2	ENFERMEDAD	517	539	fibril·lació auricular	49436004
S0004-06142007000300011-1	T3	ENFERMEDAD	755	782	massa quística multilocular	86463003
S0004-06142007000300011-1	T4	ENFERMEDAD	862	873	tumor renal	126880001
S0004-06142007000300011-1	T5	ENFERMEDAD	862	867	tumor	55342001
S0004-06142007000300011-1	T6	ENFERMEDAD	1106	1119	massa tumoral	55342001
S0004-06142007000300011-1	T7	ENFERMEDAD	2416	2421	tumor	55342001
S0004-06142007000300011-1	T8	ENFERMEDAD	2633	2638	tumor	55342001
S0004-06142007000300011-1	T9	ENFERMEDAD	3388	3429	fibrohistiocitoma maligne variant mixoide	254749001
S0004-06142007000300011-1	T10	ENFERMEDAD	3367	3383	mixofibrosarcoma	723076008
S0004-06142007000300011-1	T11	ENFERMEDAD	3034	3057	proliferació neoplàsica	1495041000004108
S0004-06142007000300011-1	T12	ENFERMEDAD	3465	3470	tumor	55342001
S0004-06142007000300011-1	T13	ENFERMEDAD	3571	3576	tumor	55342001
S0004-06142007000300011-1	T14	ENFERMEDAD	3571	3583	tumor adipós	254831005
S0004-06142007000300011-1	T15	ENFERMEDAD	3546	3561	mixoliposarcoma	27849002
S0004-06142007000300011-1	T16	ENFERMEDAD	3739	3808	mixoliposarcoma perirenal amb indiferenciación cap a mixofibrosarcoma	27849002
S0004-06142007000300011-1	T17	ENFERMEDAD	3813	3854	fibrohistiocitoma maligne variant mixoide	254749001
S0004-06142007000300011-1	T18	ENFERMEDAD	3792	3808	mixofibrosarcoma	723076008
S0004-06142007000300011-1	T19	ENFERMEDAD	3739	3754	mixoliposarcoma	27849002
es-S1130-14732009000600006-1	T1	ENFERMEDAD	416	479	lesió intraòssia frontal dreta de característiques osteolíticas	76069003
es-S1130-14732009000600006-1	T2	ENFERMEDAD	530	539	metàstasi	128462008
es-S1130-14732009000600006-1	T3	ENFERMEDAD	541	548	mieloma	55921005
es-S1130-14732009000600006-1	T4	ENFERMEDAD	551	561	hemangioma	400210000
es-S1130-14732009000600006-1	T5	ENFERMEDAD	416	421	lesió	417163006
es-S1130-14732009000600006-1	T6	ENFERMEDAD	825	830	lesió	417163006
es-S1130-14732009000600006-1	T7	ENFERMEDAD	1778	1788	hemangioma	400210000
es-S1130-14732009000600006-1	T8	ENFERMEDAD	1778	1807	hemangioma cavernós intraossi	416824008
es-S1130-14732009000600006-1	T9	ENFERMEDAD	1515	1527	defecte ossi	76069003
es-S1130-14732009000600006-1	T10	ENFERMEDAD	1093	1098	lesió	417163006
es-S1130-14732009000600006-1	T11	ENFERMEDAD	1393	1398	lesió	417163006
es-S1698-69462006000400002-1	T1	ENFERMEDAD	356	373	quist fol·licular	103614000
es-S1698-69462006000400002-1	T2	ENFERMEDAD	445	462	quist fol·licular	103614000
es-S1698-69462006000400002-1	T3	ENFERMEDAD	152	169	inclusió dentària	700080009
es-S1698-69462006000400002-1	T4	ENFERMEDAD	202	227	inclusió de caní inferior	196413005
es-S1698-69462006000400002-1	T5	ENFERMEDAD	514	525	caní inclòs	196419009
es-S1698-69462006000400002-1	T6	ENFERMEDAD	1907	1959	tumor odontogénico adenomatoide de tipus fol·licular	60599006
es-S1698-69462006000400002-1	T7	ENFERMEDAD	1971	2006	retenció d'estructura dental canina	196419009
es-S1698-69462006000400002-1	T8	ENFERMEDAD	2603	2616	lesió tumoral	55342001
es-S1130-14732006000400004-1	T1	ENFERMEDAD	59	96	hèrnia discal cervical a nivell C4-C5	84857004
es-S1130-14732006000400004-1	T2	ENFERMEDAD	59	72	hèrnia discal	84857004
es-S1130-14732006000400004-1	T3	ENFERMEDAD	761	774	hèrnia discal	84857004
es-S1130-14732006000400004-1	T4	ENFERMEDAD	162	194	contractures musculars cervicals	70070008
es-S1130-14732006000400004-1	T5	ENFERMEDAD	761	780	hèrnia discal C4-C5	84857004
es-S1130-14732006000400004-1	T6	ENFERMEDAD	854	907	cervical va demostrar que l'hèrnia estava calcificada	203994003
es-S1130-14732006000400004-1	T7	ENFERMEDAD	607	659	pèrdua d'altura en els cossos vertebrals de C4-C5-C6	298379008
es-S1130-14732006000400004-1	T8	ENFERMEDAD	674	710	calcificació a nivell del disc C4-C5	202747007
es-S1130-14732006000400004-1	T9	ENFERMEDAD	1199	1242	calcificacions intervertebrals idiopàtiques	240211000
es-S1130-14732006000400004-1	T10	ENFERMEDAD	1345	1375	calcificació a nivell de C4-C5	202747007
es-S1130-14732006000400004-1	T11	ENFERMEDAD	1387	1417	calcificacions a nivell dorsal	202751009
es-S1130-14732006000400004-1	T12	ENFERMEDAD	1449	1465	herniació discal	84857004
es-S1130-14732006000400004-1	T13	ENFERMEDAD	1652	1665	hèrnia discal	84857004
es-S1130-14732006000400004-1	T14	ENFERMEDAD	1741	1779	disc intervertebral amb calcificacions	240211000
es-S0210-48062004000300006-1	T1	ENFERMEDAD	219	242	traumatisme costolumbar	1153609000
es-S0210-48062004000300006-1	T2	ENFERMEDAD	180	190	hipoacúsia	15188001
es-S0210-48062004000300006-1	T3	ENFERMEDAD	193	206	angor repetit	194828000
es-S0210-48062004000300006-1	T4	ENFERMEDAD	374	423	pròstata és de característiques fibroadenomatosas	81555000
es-S0210-48062004000300006-1	T5	ENFERMEDAD	932	966	Tumors retroperitoneales primitius	94092006
es-S0210-48062004000300006-1	T6	ENFERMEDAD	969	987	Tumors suprarenals	127021009
es-S0210-48062004000300006-1	T7	ENFERMEDAD	990	1003	Tumors renals	126880001
es-S0210-48062004000300006-1	T8	ENFERMEDAD	1006	1025	Tumors metastásicos	14799000
es-S0210-48062004000300006-1	T9	ENFERMEDAD	1028	1048	Patologia infecciosa	40733004
es-S0210-48062004000300006-1	T10	ENFERMEDAD	1413	1438	tumor adrenal funcionante	127021009
es-S0210-48062004000300006-1	T11	ENFERMEDAD	1604	1630	quist hidatídic calcificat	74942003
es-S0210-48062004000300006-1	T12	ENFERMEDAD	1692	1715	traumatisme costolumbar	1153609000
es-S0210-48062004000300006-1	T13	ENFERMEDAD	2109	2153	greix peritoneal infiltrat per tumor maligne	94627008
es-S0210-48062004000300006-1	T14	ENFERMEDAD	2248	2273	procés maligne disseminat	128462008
es-S0210-48062004000300006-1	T15	ENFERMEDAD	2311	2334	liposarcoma pleomórfico	404071006
es-S0210-48062004000300006-1	T16	ENFERMEDAD	1994	2041	lesions difuses repartides per tot el peritoneu	285808008
es-S0210-48062004000300006-1	T17	ENFERMEDAD	1901	1941	lesió excel·lent en hipocondrio esquerre	118948005
es-S1130-01082007001200012-1	T1	ENFERMEDAD	354	362	hepatoma	126851005
es-S1130-01082007001200012-1	T2	ENFERMEDAD	229	264	LOE en els segments 2 i 3 del fetge	235856003
es-S1130-01082007001200012-1	T3	ENFERMEDAD	700	715	hepatocarcinoma	109841003
es-S1130-01082007001200012-1	T4	ENFERMEDAD	739	746	lesions	157670007
es-S1130-01082007001200012-1	T5	ENFERMEDAD	470	475	lesió	417163006
es-S1130-01082007001200012-1	T6	ENFERMEDAD	928	933	lesió	157670007
es-S1130-01082007001200012-1	T7	ENFERMEDAD	1279	1287	hepatoma	126851005
es-S1130-01082007001200012-1	T8	ENFERMEDAD	1294	1311	fetge no cirròtic	300337001
es-S1130-01082007001200012-1	T9	ENFERMEDAD	1588	1616	proliferació hepatocel·lular	235856003
es-S1130-01082007001200012-1	T10	ENFERMEDAD	2038	2063	hiperplàsia nodular focal	278527001
es-S1130-01082007001200012-1	T11	ENFERMEDAD	1667	1672	lesió	157670007
es-S0365-66912006000600010-1	T1	ENFERMEDAD	324	343	crisis epilèptiques	84757009
es-S0365-66912006000600010-1	T2	ENFERMEDAD	1079	1104	fenomen tòxic per Topamax	62014003
es-S0365-66912006000600010-1	T3	ENFERMEDAD	798	840	hemianopsia homònima esquerra no congruent	55634009
es-S1130-63432013000300013-1	T1	ENFERMEDAD	45	52	fumador	77176002
es-S1130-63432013000300013-1	T2	ENFERMEDAD	98	131	hepatitis crònica C genotip 1a/1c	768289009
es-S1130-63432013000300013-1	T3	ENFERMEDAD	176	183	fibrosi	263756000
es-S1130-63432013000300013-1	T4	ENFERMEDAD	306	317	hepatitis C	50711007
es-S1130-63432013000300013-1	T5	ENFERMEDAD	845	856	hemorroides	70153002
es-S1130-63432013000300013-1	T6	ENFERMEDAD	881	889	ansietat	197480006
es-S1130-63432013000300013-1	T7	ENFERMEDAD	1754	1772	pancreatitis aguda	197456007
es-S0212-71992007000200007-1	T1	ENFERMEDAD	87	99	pancitopenia	127034005
es-S0212-71992007000200007-1	T2	ENFERMEDAD	133	155	LNH vaig donar tipus B	109979007
es-S0212-71992007000200007-1	T3	ENFERMEDAD	447	467	malaltia linfomatosa	414628006
es-S0212-71992007000200007-1	T4	ENFERMEDAD	513	527	mielodisplàsia	109995007
es-S0212-71992007000200007-1	T5	ENFERMEDAD	553	575	infiltració neoplàsica	128462008
es-S0212-71992007000200007-1	T6	ENFERMEDAD	680	694	esplenomegàlia	16294009
es-S0212-71992007000200007-1	T7	ENFERMEDAD	908	920	pancitopenia	127034005
es-S0212-71992007000200007-1	T8	ENFERMEDAD	1080	1100	ipertensión cerebral	50490005
es-S0212-71992007000200007-1	T9	ENFERMEDAD	1725	1744	metaplasia mieloide	443230004
es-S0212-71992007000200007-1	T10	ENFERMEDAD	2199	2212	coma cerebral	371632003
es-S0212-71992007000200007-1	T11	ENFERMEDAD	1045	1052	lesions	157670007
es-S0212-71992004001100007-1	T1	ENFERMEDAD	128	150	valvulopatía reumàtica	16063004
es-S0212-71992004001100007-1	T2	ENFERMEDAD	152	182	fibril·lació auricular crònica	426749004
es-S0212-71992004001100007-1	T3	ENFERMEDAD	190	193	HTA	38341003
es-S0212-71992004001100007-1	T4	ENFERMEDAD	195	228	insuficiència cardíaca congestiva	42343007
es-S0212-71992004001100007-1	T5	ENFERMEDAD	230	233	ICC	42343007
es-S0212-71992004001100007-1	T6	ENFERMEDAD	495	498	ICC	42343007
es-S0212-71992004001100007-1	T7	ENFERMEDAD	928	931	ICC	42343007
es-S0212-71992004001100007-1	T8	ENFERMEDAD	1492	1515	Endocarditis Infecciosa	233850007
es-S0212-71992004001100007-1	T9	ENFERMEDAD	2309	2334	hematoma occipitoparietal	450425005
es-S0212-71992004001100007-1	T10	ENFERMEDAD	2704	2721	hematoma cerebral	301764006
es-S0212-71992004001100007-1	T11	ENFERMEDAD	1427	1448	fenòmens vasculíticos	31996006
es-S0212-71992004001100007-1	T12	ENFERMEDAD	1689	1700	vegetacions	264340003
es-S0212-71992004001100007-1	T13	ENFERMEDAD	612	625	hepatomegàlia	80515008
es-S0212-71992004001100007-1	T14	ENFERMEDAD	1333	1340	lesions	157670007
es-S0212-71992004001100007-1	T15	ENFERMEDAD	184	187	FAC	426749004
es-S0365-66912008000200014-1	T1	ENFERMEDAD	106	122	obesitat mòrbida	238136002
es-S0365-66912008000200014-1	T2	ENFERMEDAD	148	167	esteatosis hepàtica	197321007
es-S0365-66912008000200014-1	T3	ENFERMEDAD	174	195	síndrome malabsortivo	32230006
es-S0365-66912008000200014-1	T4	ENFERMEDAD	237	251	anèmia crònica	191268006
es-S0365-66912008000200014-1	T5	ENFERMEDAD	385	416	fístula urinària postoperatòria	57243009
es-S0365-66912008000200014-1	T6	ENFERMEDAD	485	501	ceguesa nocturna	65194006
es-S0365-66912008000200014-1	T7	ENFERMEDAD	720	739	xerosis conjuntival	64718006
es-S0365-66912008000200014-1	T8	ENFERMEDAD	1421	1438	abscés intrarenal	3321001
es-S1137-66272009000100013-1	T1	ENFERMEDAD	38	47	exfumador	8517006
es-S1137-66272009000100013-1	T2	ENFERMEDAD	78	118	miocardiopatia dilatada d'origen enólico	83521008
es-S1137-66272009000100013-1	T3	ENFERMEDAD	384	405	bloqueig bifascicular	74021003
es-S1137-66272009000100013-1	T4	ENFERMEDAD	410	434	bloqueig de branca dreta	59118001
es-S1137-66272009000100013-1	T5	ENFERMEDAD	437	467	hemibloqueo de branca esquerra	4973001
es-S1137-66272009000100013-1	T6	ENFERMEDAD	545	576	ateromatosis a nivell de gaiato	81817003
es-S1137-66272009000100013-1	T7	ENFERMEDAD	692	709	emfisema pulmonar	87433001
es-S1137-66272009000100013-1	T8	ENFERMEDAD	1314	1333	isquèmia miocàrdica	414795007
es-S1137-66272009000100013-1	T9	ENFERMEDAD	27	36	al·lèrgic	106190000
es-S1137-66272009000100013-1	T10	ENFERMEDAD	352	381	dilatació d'aurícula esquerra	253361002
es-S1137-66272009000100013-1	T11	ENFERMEDAD	1387	1411	vasculopatia de l'empelt	234190001
es-S1137-66272009000100013-1	T12	ENFERMEDAD	2476	2495	isquèmia miocàrdica	414795007
es-S1130-63432016000100009-1	T1	ENFERMEDAD	98	112	ictus isquèmic	422504002
es-S1130-63432016000100009-1	T2	ENFERMEDAD	194	223	tromboembolisme venós profund	128053003
es-S0210-48062005000300016-2	T1	ENFERMEDAD	244	266	hematúria macroscòpica	197941005
es-S0210-48062005000300016-2	T2	ENFERMEDAD	418	446	accident isquèmic transitori	266257000
es-S0210-48062005000300016-2	T3	ENFERMEDAD	519	536	arrítmia cardíaca	698247007
es-S0210-48062005000300016-2	T4	ENFERMEDAD	539	551	valvulopatía	368009
es-S0210-48062005000300016-2	T5	ENFERMEDAD	566	589	episodis tromboembòlics	371039008
es-S0210-48062005000300016-2	T6	ENFERMEDAD	631	647	litiasi urinària	95566004
es-S0210-48062005000300016-2	T7	ENFERMEDAD	703	718	abús de cocaïna	78267003
es-S0210-48062005000300016-2	T8	ENFERMEDAD	739	754	hepatitis B o C	442374005
es-S0210-48062005000300016-2	T9	ENFERMEDAD	340	351	Hipertensió	38341003
es-S0210-48062005000300016-2	T10	ENFERMEDAD	1305	1333	dilatació del tracte urinari	128606002
es-S0210-48062005000300016-2	T11	ENFERMEDAD	1577	1602	isquèmia miocàrdica aguda	413444003
es-S0210-48062005000300016-2	T12	ENFERMEDAD	1908	1925	dilatació aòrtica	26660001
es-S0210-48062005000300016-2	T13	ENFERMEDAD	1928	1953	aneurisma d'artèria renal	36184004
es-S0210-48062005000300016-2	T14	ENFERMEDAD	2248	2266	episodis embólicos	414086009
es-S0210-48062005000300016-2	T15	ENFERMEDAD	1577	1585	isquèmia	52674009
es-S0210-48062005000300016-2	T16	ENFERMEDAD	1826	1834	isquèmia	52674009
